#====================================================================================================
# 涵蓋括號的多個數字的加減乘除法運算 (包含絕對值)
#====================================================================================================


#====================================================================================================
# pkind 1：整數/小數運算
#====================================================================================================
# abskind：絕對值層數
#  0 : 無絕對值  1 : 一層  2 : 兩層  3 : 一到二層
# 
#====================================================================================================
#                                                數字範圍             數字範圍       
#                                 數字個數   底數位數  指數位數   底數位數  指數位數 
# kind  pkind  moptr   abskind    na   nb    d1  d2    w1  w2     d3  d4    w3  w4  
#====================================================================================================

# 整數加減
1         1      4        1        2    2     1   3     0   0      1   3     0   0
2         1      4        1        3    3     1   3     0   0      1   3     0   0
3         1      4        1        4    4     1   3     0   0      1   3     0   0
4         1      4        2        4    4     1   3     0   0      1   3     0   0

# 整數四則
11        1      6        1        3    3     1   2     0   0      1   3     0   0
12        1      6        1        4    4     1   2     0   0      1   3     0   0
13        1      6        2        5    5     1   2     0   0      1   3     0   0


# 小數加減
51        1      4        1        2    2     1   3     0  -2      1   4     0  -2
52        1      4        1        3    3     1   3     0  -2      1   4     0  -2
53        1      4        1        4    4     1   3     0  -2      1   4     0  -2
54        1      4        2        4    4     1   3     0  -2      1   4     0  -2

# 小數四則
61        1      6        1        3    3     1   2     0  -2      1   3     0  -2
62        1      6        1        4    4     1   2     0  -2      1   3     0  -2
63        1      6        2        5    5     1   2     0  -2      1   3     0  -2



#====================================================================================================
# pkind 2：小數與整數混合運算
#====================================================================================================
# parenkind：括號類型
#  0 : 無括號  1 : 小括號  2 : 中括號  3 : [0,1]  4 : [1,2]  5 : [0,2]
# 
#====================================================================================================
#                                               數字範圍             數字範圍       
#                                數字個數   底數位數  指數位數   底數位數  指數位數 
# kind  pkind  moptr   abskind   na   nb    d1  d2    w1  w2     d3  d4    w3  w4  
#====================================================================================================

# 加減
101       2      4        1        2    2     2   3     0  -2      1   3     0  -2
102       2      4        1        3    3     2   3     0  -2      1   3     0  -2
103       2      4        1        4    4     2   3     0  -2      1   3     0  -2
104       2      4        2        4    4     2   3     0  -2      1   3     0  -2

# 四則
121       2      6        1        3    3     1   2     0  -2      1   3     0  -2
122       2      6        1        4    4     1   2     0  -2      1   3     0  -2
123       2      6        2        5    5     1   2     0  -2      1   3     0  -2



#====================================================================================================
# pkind 3 ：整數、小數與分數間運算
#====================================================================================================
# parenkind：括號類型
#  0 : 無括號  1 : 小括號  2 : 中括號  3 : [0,1]  4 : [1,2]  5 : [0,2]
# 
#====================================================================================================
#                                               數字範圍             數字範圍       
#                                數字個數   底數位數  指數位數   底數位數  指數位數 
# kind  pkind  moptr   abskind    na   nb    d1  d2    w1  w2     d3  d4    w3  w4  
#====================================================================================================

201       3      4        1        3    3     2   3     0  -2      1   3     0  -2
202       3      4        1        4    4     2   3     0  -2      1   3     0  -2
203       3      4        2        4    4     2   3     0  -2      1   3     0  -2

221       3      6        1        3    3     1   2     0  -2      1   3     0  -2
222       3      6        1        4    4     1   2     0  -2      1   3     0  -2
223       3      6        2        5    5     1   2     0  -2      1   3     0  -2





