#===================================================================================
# 折線圖問題
#===================================================================================


#===================================================================================
# pkind 1 : 一組折線
#===================================================================================
#
# gkind : 問題類型
#  1  給數據畫折線圖                                                                  
#  2  由折線圖判讀資料
#  3  折線圖資料比較
#  4  折線圖資料平均 
#  5  折線圖資料總和
#  6  有幾筆數量超過 n
#
# stics : 是否顯示小刻度數字   1 是  0 否  (都會顯示大小刻度)
#
# 數據最大值 amax 介於 [amax1,amax2] , amax = amax1 + n * dmax 
# 小刻度為 amax/10  大刻度為小刻度的 [dr1,dr2] 倍
#
#===================================================================================
#                                   數據個數範圍    數據最大範圍        大刻度/小刻度  
# kind    pkind	   gkind    stics   nmin    nmax    amax1  amax2  dmax    dr1  dr2
#===================================================================================

   1        1        1        1      4       6        10     10     1      5   5
   2        1        2        1      4       6        10     10     1      5   5
   3        1        3        1      4       6        10     10     1      5   5
   4        1        4        1      4       6        10     10     1      5   5
   5        1        5        1      4       6        10     10     1      5   5
   6        1        6        1      4       6        10     10     1      5   5


  11        1        1        1      4       6        20     99    10      2   5
  12        1        2        1      4       6        20     99    10      2   5
  13        1        3        1      4       6        20     99    10      2   5
  14        1        4        1      4       6        20     99    10      2   5
  15        1        5        1      4       6        20     99    10      2   5
  16        1        6        1      4       6        20     99    10      2   5


  21        1        1        0      4       6       200    500   100      5   5
  22        1        2        0      4       6       200    500   100      5   5
  23        1        3        0      4       6       200    500   100      5   5
  24        1        4        0      4       6       200    500   100      5   5
  25        1        5        0      4       6       200    500   100      5   5
  26        1        6        0      4       6       200    500   100      5   5


  31        1        1        0      4       6       200    500   100      2   4
  32        1        2        0      4       6       200    500   100      2   4
  33        1        3        0      4       6       200    500   100      2   4
  34        1        4        0      4       6       200    500   100      2   4
  35        1        5        0      4       6       200    500   100      2   4
  36        1        6        0      4       6       200    500   100      2   4



#=====================================================================================
# pkind 2 : 兩組折線
#=====================================================================================
# gkind : 4  平均值差
#         5  總和差
#         6  有幾筆數量超過 n
#         7  兩組在同 x 時的數值差距
#
# stics : 有無小刻度   1 有  0 無
#=====================================================================================
#                                   數據個數範圍    數據最大範圍        大刻度/小刻度  
# kind    pkind	   gkind    stics   nmin    nmax    amax1  amax2  dmax    dr1  dr2
#===================================================================================

  51        2        4        1      4       5        10     10     1      5   5
  52        2        5        1      4       5        10     10     1      5   5
  53        2        6        1      4       5        10     10     1      5   5
  54        2        7        1      4       5        10     10     1      5   5


  61        2        4        0      4       5        20     99    10      5   5
  62        2        5        0      4       5        20     99    10      5   5
  63        2        6        0      4       5        20     99    10      5   5
  64        2        7        0      4       5        20     99    10      5   5


  71        2        4        0      4       5       200    500   100      2   5
  72        2        5        0      4       5       200    500   100      2   5
  73        2        6        0      4       5       200    500   100      2   5
  74        2        7        0      4       5       200    500   100      2   5



