#=================================================================
# 玩偶價錢：各式圖形應用題
#=================================================================

#=================================================================
# dno : 問題中，兩數計算中的其中較大數字的位數
#       dno 等於 0 代表使用系統預設
# 
#=================================================================
# kind   pkind   dno
#=================================================================

11         1      2
12         1      3          
13         1      4          
 
21         2      3
22         2      4

31         3      3
32         3      4

41         4      3
42         4      4

51         5      3
52         5      4

61         6      3
62         6      4

71         7      3
72         7      4

# 單價位數
81         8      1
82         8      2
83         8      3

# 單價位數
91         9      1
92         9      2
93         9      3

101       10      3
102       10      4

111       11      3
112       11      4

121       12      3
122       12      4

131       13      3
132       13      4

141       14      3
142       14      4

151       15      3
152       15      4

161       16      3
162       16      4

171       17      0

# 單價位數
181       18      1
182       18      2
183       18      3

# 單價位數
191       19      1
192       19      2
193       19      3

# 單價位數
201       20      1
202       20      2
203       20      3

# 單價位數
211       21      1
212       21      2
213       21      3

# 單價位數
221       22      2

# 單價位數
231       23      1
232       23      2
233       23      3

# 單價位數
241       24      2
242       24      3

# 單價位數
251       25      2
252       25      3

# 單價位數
261       26      2
262       26      3

# 整組價錢
271       27      2
272       27      3

# 單價位數
281       28      1
282       28      2
283       28      3

# 單價位數
291       29      2
292       29      3

# 計算結果的位數
301       30      2
302       30      3

# 單價位數
311       31      2
312       31      3

# 單價位數
321       32      2
322       32      3

# 單價位數
331       33      2
332       33      3

# 單價位數
341       34      2
342       34      3


# 整組位數
351       35      3
352       35      4

# 整組位數
361       36      3
362       36      4

# 整組位數
371       37      3
372       37      4

# 整組位數
381       38      3
382       38      4

# 整組位數
391       39      3
392       39      4

# 單價位數
401       40      2
402       40      3

# 單價位數
411       41      2
412       41      3

# 單價位數
421       42      2
422       42      3

# 單價位數
431       43      2
432       43      3

# 單價位數
441       44      2
442       44      3

# 單價位數
451       45      2
452       45      3

# 單價位數
461       46      2
462       46      3

# 整組位數
471       47      3
472       47      4

# 單價位數
481       48      1
482       48      2
483       48      3

# 單價位數
491       49      2
492       49      3

# 單價位數
501       50      2
502       50      3

# 單價位數
511       51      1
512       51      2
513       51      3

