#===========================================================================
# 兩個連在一起的分或合問題
#===========================================================================

#===========================================================================
# pkind 1 : 兩個連在一起的合問題，上三下二
#===========================================================================
# bno    : 方框個數
# qpos   : 兩個問題的位置： 1 上  2 下  3 混合
# zdigit : 單方框數字的個位數是否為零
#===========================================================================
#                 上方方框數值       下方方框數值     
#                 最小    最大      最小      最大
# kind   pkind   upmin   upmax     downmin   downmax    qpos   zdigit
#===========================================================================      

   1       1        1       8          3         9        1        0
   2       1        1      17         10        18        1        0
   3       1        1      98         20        99        1        0
   4       1        1      99         20        99        1        1

  11       1        1       8          3         9        2        0
  12       1        1      17         10        18        2        0
  13       1        1      98         20        99        2        0
  14       1        1      99         20        99        2        1

  21       1        1       8          3         9        3        0
  22       1        1      17         10        18        3        0
  23       1        1      98         20        99        3        0
  24       1        1      99         20        99        3        1
                 
                 



#===========================================================================
# pkind 2 : 兩個連在一起的分問題，上二下三
#===========================================================================
# bno    : 方框個數
# qpos   : 問題的位置  1 上  2 下
# zdigit : 單方框數字的個位數是否為零
#===========================================================================
#                 上方方框數值       下方方框數值     
#                 最小    最大      最小      最大
# kind   pkind   upmin   upmax     downmin   downmax    qpos   zdigit
#===========================================================================      

  31       2        3         9        1       8          1        0
  32       2       10        18        1      17          1        0
  33       2       20        99        1      98          1        0
  34       2       20        99        1      99          1        1
		               	      
  41       2        3         9        1       8          2        0
  42       2       10        18        1      17          2        0
  43       2       20        99        1      98          2        0
  44       2       20        99        1      99          2        1
		               	      
  51       2        3         9        1       8          3        0
  52       2       10        18        1      17          3        0
  53       2       20        99        1      98          3        0
  54       2       20        99        1      99          3        1

		     
